FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
n/a,n/a,n/a,Afghanistan,17/08/2020 4:27,33.93911,67.709953,37596,1375,27166,9055,Afghanistan,96.5774524,3.657303969
n/a,n/a,n/a,Albania,17/08/2020 4:27,41.1533,20.1683,7380,228,3794,3358,Albania,256.4458962,3.089430894
n/a,n/a,n/a,Algeria,17/08/2020 4:27,28.0339,1.6596,38583,1370,27017,10196,Algeria,87.98650468,3.550786616
n/a,n/a,n/a,Andorra,17/08/2020 4:27,42.5063,1.5218,989,53,863,73,Andorra,1280.010354,5.358948433
n/a,n/a,n/a,Angola,17/08/2020 4:27,-11.2027,17.8739,1906,88,628,1190,Angola,5.799258985,4.616998951
n/a,n/a,n/a,Antigua and Barbuda,17/08/2020 4:27,17.0608,-61.7964,93,3,88,2,Antigua and Barbuda,94.96773139,3.225806452
n/a,n/a,n/a,Argentina,17/08/2020 4:27,-38.4161,-63.6167,294569,5703,211702,77164,Argentina,651.7622211,1.936048939
n/a,n/a,n/a,Armenia,17/08/2020 4:27,40.0691,45.0382,41663,818,34584,6261,Armenia,1405.997636,1.963372777
n/a,n/a,Australian Capital Territory,Australia,17/08/2020 4:27,-35.4735,149.0124,113,3,110,0,"Australian Capital Territory, Australia",26.39570194,2.654867257
n/a,n/a,New South Wales,Australia,17/08/2020 4:27,-33.8688,151.2093,3957,52,2994,911,"New South Wales, Australia",48.74353289,1.314126864
n/a,n/a,Northern Territory,Australia,17/08/2020 4:27,-12.4634,130.8456,33,0,31,2,"Northern Territory, Australia",13.43648208,0
n/a,n/a,Queensland,Australia,17/08/2020 4:27,-27.4698,153.0251,1091,6,1079,6,"Queensland, Australia",21.32733848,0.54995417
n/a,n/a,South Australia,Australia,17/08/2020 4:27,-34.9285,138.6007,461,4,450,7,"South Australia, Australia",26.24537432,0.867678959
n/a,n/a,Tasmania,Australia,17/08/2020 4:27,-42.8821,147.3272,230,13,216,1,"Tasmania, Australia",42.95051354,5.652173913
n/a,n/a,Victoria,Australia,17/08/2020 4:27,-37.8136,144.9631,17027,334,8570,8123,"Victoria, Australia",256.8213699,1.961590415
n/a,n/a,Western Australia,Australia,17/08/2020 4:27,-31.9505,115.8605,646,9,633,4,"Western Australia, Australia",24.55713525,1.393188854
n/a,n/a,n/a,Austria,17/08/2020 4:27,47.5162,14.5501,23370,728,20681,1961,Austria,259.482146,3.115104835
n/a,n/a,n/a,Azerbaijan,17/08/2020 4:27,40.1431,47.5769,34219,506,31875,1838,Azerbaijan,337.492942,1.478710658
n/a,n/a,n/a,Bahamas,17/08/2020 4:27,25.025885,-78.035889,1315,18,189,1108,Bahamas,334.3945805,1.368821293
n/a,n/a,n/a,Bahrain,17/08/2020 4:27,26.0275,50.55,46835,170,43128,3537,Bahrain,2752.436995,0.362976407
n/a,n/a,n/a,Bangladesh,17/08/2020 4:27,23.685,90.3563,276549,3657,158950,113942,Bangladesh,167.9215715,1.322369634
n/a,n/a,n/a,Barbados,17/08/2020 4:27,13.1939,-59.5432,151,7,122,22,Barbados,52.54531599,4.635761589
n/a,n/a,n/a,Belarus,17/08/2020 4:27,53.7098,27.9534,69516,610,67072,1834,Belarus,735.671907,0.877495828
n/a,n/a,n/a,Belgium,17/08/2020 4:27,50.8333,4.469936,78323,9939,17994,50390,Belgium,675.8032363,12.68975907
n/a,n/a,n/a,Belize,17/08/2020 4:27,17.1899,-88.4976,452,3,35,414,Belize,113.6760885,0.663716814
